Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
The Nun's Story,1959,Nominee,32,0053131,7.6,9375.0,149.0,[' Drama'],['USA'],3500000.0,
Room at the Top,1959,Nominee,32,0053226,7.5,5396.0,117.0,"[' Drama', ' Romance']",['UK'],380800.0,
The Apartment,1960,Winner,33,0053604,8.3,163969.0,125.0,"[' Comedy', ' Drama', ' Romance']",['USA'],3000000.0,18778454.0
The Alamo,1960,Nominee,33,0053580,6.9,14366.0,162.0,"[' Adventure', ' Drama', ' History', ' War', ' Western']",['USA'],12000000.0,
Elmer Gantry,1960,Nominee,33,0053793,7.8,10360.0,146.0,[' Drama'],['USA'],3000000.0,
Sons and Lovers,1960,Nominee,33,0054326,7.1,1399.0,103.0,[' Drama'],['UK'],500000.0,
The Sundowners,1960,Nominee,33,0054353,7.1,3769.0,133.0,"[' Adventure', ' Drama']","['UK', 'USA']",,
West Side Story,1961,Winner,34,0055614,7.5,96832.0,153.0,"[' Crime', ' Drama', ' Musical', ' Romance']",['USA'],6000000.0,44061777.0
Fanny,1961,Nominee,34,0054866,6.9,1943.0,134.0,"[' Drama', ' Romance']",['USA'],,
The Guns of Navarone,1961,Nominee,34,0054953,7.5,45431.0,158.0,"[' Action', ' Adventure', ' Drama', ' War']","['UK', 'USA']",6000000.0,
The Hustler,1961,Nominee,34,0054997,8.0,74957.0,134.0,"[' Drama', ' Sport']",['USA'],2000000.0,
Judgment at Nuremberg,1961,Nominee,34,0055031,8.2,69295.0,179.0,"[' Drama', ' War']",['USA'],3000000.0,12180.0
Lawrence of Arabia,1962,Winner,35,0056172,8.3,267546.0,187.0,"[' Adventure', ' Biography', ' Drama', ' History', ' War']",['UK'],15000000.0,45715757.0
The Longest Day,1962,Nominee,35,0056197,7.8,52100.0,178.0,"[' Action', ' Drama', ' History', ' War']",['USA'],10000000.0,
The Music Man,1962,Nominee,35,0056262,7.7,15881.0,151.0,"[' Comedy', ' Family', ' Musical', ' Romance']",['USA'],4240000.0,
Mutiny on the Bounty,1962,Nominee,35,0056264,7.3,14932.0,178.0,"[' Adventure', ' Drama', ' History', ' Romance']",['USA'],19000000.0,
To Kill a Mockingbird,1962,Nominee,35,0056592,8.2,293360.0,129.0,"[' Crime', ' Drama']",['USA'],2000000.0,599146.0
Tom Jones,1963,Winner,36,0057590,6.5,11657.0,129.0,"[' Adventure', ' Comedy', ' History']",['UK'],1000000.0,
America America,1963,Nominee,36,0056825,7.8,4875.0,174.0,[' Drama'],['USA'],,
Cleopatra,1963,Nominee,36,0056937,7.0,29377.0,192.0,"[' Biography', ' Drama', ' History', ' Romance']","['Switzerland', 'UK', 'USA']",44000000.0,57777778.0
How the West Was Won,1963,Nominee,36,0056085,7.1,18642.0,164.0,[' Western'],['USA'],15000000.0,76729.0
Lilies of the Field,1963,Nominee,36,0057251,7.6,9090.0,94.0,[' Drama'],['USA'],240000.0,
My Fair Lady,1964,Winner,37,0058385,7.8,86364.0,170.0,"[' Drama', ' Family', ' Musical', ' Romance']",['USA'],17000000.0,72632653.0
Becket,1964,Nominee,37,0057877,7.8,13595.0,148.0,"[' Biography', ' Drama', ' History']","['UK', 'USA']",3000000.0,149327.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Nominee,37,0057012,8.4,449593.0,95.0,[' Comedy'],"['UK', 'USA']",1800000.0,9443876.0
Mary Poppins,1964,Nominee,37,0058331,7.8,157728.0,139.0,"[' Comedy', ' Family', ' Fantasy', ' Musical']",['USA'],6000000.0,103082380.0
Zorba the Greek,1964,Nominee,37,0057831,7.7,20669.0,142.0,"[' Comedy', ' Drama']","['Greece', 'USA']",783000.0,
