Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
Driving Miss Daisy,1989,Winner,62,0097239,7.3,99205.0,99.0,[' Drama'],['USA'],7500000.0,145793296.0
Born on the Fourth of July,1989,Nominee,62,0096969,7.2,98267.0,145.0,"[' Biography', ' Drama', ' War']",['USA'],14000000.0,161001698.0
Dead Poets Society,1989,Nominee,62,0097165,8.1,424092.0,128.0,"[' Comedy', ' Drama']",['USA'],16400000.0,235860116.0
Field of Dreams,1989,Nominee,62,0097351,7.5,107880.0,107.0,"[' Drama', ' Family', ' Fantasy', ' Sport']",['USA'],,84431625.0
My Left Foot,1989,Nominee,62,0097937,7.9,67895.0,103.0,"[' Biography', ' Drama']","['Ireland', 'UK']",816000.0,14743391.0
Dances with Wolves,1990,Winner,63,0099348,8.0,239832.0,181.0,"[' Adventure', ' Drama', ' Western']","['USA', 'UK']",22000000.0,424208848.0
Awakenings,1990,Nominee,63,0099077,7.8,124740.0,121.0,"[' Biography', ' Drama']",['USA'],31000000.0,52096475.0
Ghost,1990,Nominee,63,0099653,7.1,197252.0,127.0,"[' Drama', ' Fantasy', ' Romance', ' Thriller']",['USA'],22000000.0,505703557.0
The Godfather Part III,1990,Nominee,63,0099674,7.6,358948.0,162.0,"[' Crime', ' Drama']",['USA'],54000000.0,136766062.0
Goodfellas,1990,Nominee,63,0099685,8.7,1018022.0,146.0,"[' Biography', ' Crime', ' Drama']",['USA'],25000000.0,46952991.0
The Silence of the Lambs,1991,Winner,64,0102926,8.6,1267177.0,118.0,"[' Crime', ' Drama', ' Thriller']",['USA'],19000000.0,272742922.0
Beauty and the Beast,1991,Nominee,64,0101414,8.0,416710.0,84.0,"[' Animation', ' Family', ' Fantasy', ' Musical', ' Romance']",['USA'],25000000.0,424967620.0
Bugsy,1991,Nominee,64,0101516,6.8,26211.0,136.0,"[' Biography', ' Crime', ' Drama']",['USA'],30000000.0,49114016.0
JFK,1991,Nominee,64,0102138,8.0,141796.0,189.0,"[' Drama', ' History', ' Thriller']","['USA', 'France']",40000000.0,205405498.0
The Prince of Tides,1991,Nominee,64,0102713,6.8,16202.0,132.0,"[' Drama', ' Romance']",['USA'],30000000.0,74787599.0
Unforgiven,1992,Winner,65,0105695,8.2,375151.0,130.0,"[' Drama', ' Western']",['USA'],14400000.0,159157447.0
The Crying Game,1992,Nominee,65,0104036,7.2,50969.0,112.0,"[' Crime', ' Drama', ' Romance', ' Thriller']","['UK', 'Japan', 'USA']",3128000.0,62548947.0
A Few Good Men,1992,Nominee,65,0104257,7.7,234838.0,138.0,"[' Drama', ' Thriller']",['USA'],41000000.0,243240178.0
Howards End,1992,Nominee,65,0104454,7.4,28812.0,142.0,"[' Drama', ' Romance']","['UK', 'Japan', 'USA']",,26341736.0
Scent of a Woman,1992,Nominee,65,0105323,8.0,263099.0,156.0,[' Drama'],['USA'],31000000.0,134095253.0
Schindler's List,1993,Winner,66,0108052,8.9,1210818.0,195.0,"[' Biography', ' Drama', ' History']",['USA'],22000000.0,322161245.0
The Fugitive,1993,Nominee,66,0106977,7.8,267238.0,130.0,"[' Action', ' Crime', ' Drama', ' Mystery', ' Thriller']",['USA'],44000000.0,368875760.0
In the Name of the Father,1993,Nominee,66,0107207,8.1,156494.0,133.0,"[' Biography', ' Crime', ' Drama']","['Ireland', 'UK']",13000000.0,65796862.0
The Piano,1993,Nominee,66,0107822,7.6,78878.0,121.0,"[' Drama', ' Music', ' Romance']","['New Zealand', 'Australia', 'France', 'USA']",7000000.0,40185556.0
The Remains of the Day,1993,Nominee,66,0107943,7.8,65876.0,134.0,"[' Drama', ' Romance']","['USA', 'UK']",15000000.0,23237911.0
Forrest Gump,1994,Winner,67,0109830,8.8,1804486.0,142.0,"[' Drama', ' Romance']",['USA'],55000000.0,678226133.0
Four Weddings and a Funeral,1994,Nominee,67,0109831,7.1,139499.0,117.0,"[' Comedy', ' Drama', ' Romance']",['UK'],4400000.0,245700832.0
Pulp Fiction,1994,Nominee,67,0110912,8.9,1822208.0,154.0,"[' Crime', ' Drama']",['USA'],8000000.0,213928762.0
Quiz Show,1994,Nominee,67,0110932,7.5,64580.0,133.0,"[' Biography', ' Drama', ' History']",['USA'],31000000.0,24822619.0
The Shawshank Redemption,1994,Nominee,67,0111161,9.3,2337357.0,142.0,[' Drama'],['USA'],25000000.0,28817291.0
Braveheart,1995,Winner,68,0112573,8.3,957591.0,178.0,"[' Biography', ' Drama', ' History', ' War']",['USA'],72000000.0,212215441.0
Apollo 13,1995,Nominee,68,0112384,7.6,268547.0,140.0,"[' Adventure', ' Drama', ' History']",['USA'],52000000.0,355237933.0
Babe,1995,Nominee,68,0112431,6.8,116626.0,91.0,"[' Comedy', ' Drama', ' Family']","['Australia', 'USA']",30000000.0,254134910.0
The Postman (Il Postino),1995,Nominee,68,0110877,7.7,33544.0,108.0,"[' Biography', ' Comedy', ' Drama', ' Romance']","['Italy', 'France', 'Belgium']",3000000.0,21898920.0
Sense and Sensibility,1995,Nominee,68,0114388,7.6,102343.0,136.0,"[' Drama', ' Romance']","['USA', 'UK']",16000000.0,134582776.0
The English Patient,1996,Winner,69,0116209,7.4,178398.0,162.0,"[' Drama', ' Romance', ' War']","['USA', 'UK']",27000000.0,231976425.0
Fargo,1996,Nominee,69,0116282,8.1,616182.0,98.0,"[' Crime', ' Drama', ' Thriller']","['USA', 'UK']",7000000.0,60611975.0
Jerry Maguire,1996,Nominee,69,0116695,7.3,242641.0,139.0,"[' Comedy', ' Drama', ' Romance', ' Sport']",['USA'],50000000.0,273552592.0
Secrets & Lies,1996,Nominee,69,0117589,8.0,37483.0,136.0,"[' Comedy', ' Drama']","['UK', 'France']",4500000.0,13417292.0
Shine,1996,Nominee,69,0117631,7.7,51279.0,105.0,"[' Biography', ' Drama', ' Music', ' Romance']",['Australia'],5500000.0,35999081.0
Titanic,1997,Winner,70,0120338,7.8,1043823.0,194.0,"[' Drama', ' Romance']","['USA', 'Mexico']",200000000.0,2471751922.0
As Good as It Gets,1997,Nominee,70,0119822,7.7,275173.0,139.0,"[' Comedy', ' Drama', ' Romance']",['USA'],50000000.0,314178011.0
The Full Monty,1997,Nominee,70,0119164,7.2,98637.0,91.0,"[' Comedy', ' Drama']","['UK', 'USA']",3500000.0,257938649.0
Good Will Hunting,1997,Nominee,70,0119217,8.3,859470.0,126.0,"[' Drama', ' Romance']",['USA'],10000000.0,225933435.0
L.A. Confidential,1997,Nominee,70,0119488,8.2,530979.0,138.0,"[' Crime', ' Drama', ' Mystery', ' Thriller']",['USA'],35000000.0,126216940.0
Shakespeare in Love,1998,Winner,71,0138097,7.1,213670.0,123.0,"[' Comedy', ' Drama', ' History', ' Romance']","['USA', 'UK']",25000000.0,289317794.0
Elizabeth,1998,Nominee,71,0127536,7.4,92999.0,124.0,"[' Biography', ' Drama', ' History']",['UK'],30000000.0,82150642.0
Life Is Beautiful,1998,Nominee,71,0118799,8.6,622124.0,116.0,"[' Comedy', ' Drama', ' Romance', ' War']",['Italy'],20000000.0,230098753.0
Saving Private Ryan,1998,Nominee,71,0120815,8.6,1232963.0,169.0,"[' Drama', ' War']",['USA'],70000000.0,482349603.0
The Thin Red Line,1998,Nominee,71,0120863,7.6,172429.0,170.0,"[' Drama', ' War']","['USA', 'Australia']",52000000.0,97877498.0
American Beauty,1999,Winner,72,0169547,8.3,1067934.0,122.0,[' Drama'],['USA'],15000000.0,356296601.0
The Cider House Rules,1999,Nominee,72,0124315,7.4,93110.0,126.0,"[' Drama', ' Romance']",['USA'],24000000.0,88545092.0
The Green Mile,1999,Nominee,72,0120689,8.6,1144770.0,189.0,"[' Crime', ' Drama', ' Fantasy', ' Mystery']",['USA'],60000000.0,286801374.0
The Insider,1999,Nominee,72,0140352,7.8,159624.0,157.0,"[' Biography', ' Drama', ' Thriller']",['USA'],90000000.0,60289912.0
The Sixth Sense,1999,Nominee,72,0167404,8.1,910185.0,107.0,"[' Drama', ' Mystery', ' Thriller']",['USA'],40000000.0,672806292.0
Gladiator,2000,Winner,73,0172495,8.5,1338622.0,155.0,"[' Action', ' Adventure', ' Drama']","['USA', 'UK', 'Malta', 'Morocco']",103000000.0,465363912.0
Chocolat,2000,Nominee,73,0241303,7.2,177609.0,121.0,"[' Drama', ' Romance']","['UK', 'USA']",25000000.0,152699976.0
"Crouching Tiger, Hidden Dragon",2000,Nominee,73,0190332,7.8,252813.0,120.0,"[' Action', ' Adventure', ' Fantasy', ' Romance']","['Taiwan', 'Hong Kong', 'USA', 'China']",17000000.0,213525736.0
Erin Brockovich,2000,Nominee,73,0195685,7.3,174489.0,131.0,"[' Biography', ' Drama']",['USA'],52000000.0,256271286.0
Traffic,2000,Nominee,73,0181865,7.6,195506.0,147.0,"[' Crime', ' Drama', ' Thriller']","['USA', 'Mexico', 'Germany']",48000000.0,207515725.0
A Beautiful Mind,2001,Winner,74,0268978,8.2,847035.0,135.0,"[' Biography', ' Drama']",['USA'],58000000.0,316791257.0
Gosford Park,2001,Nominee,74,0280707,7.2,80344.0,131.0,"[' Comedy', ' Drama', ' Mystery']","['USA', 'UK', 'Italy']",19800000.0,87754044.0
In the Bedroom,2001,Nominee,74,0247425,7.4,37367.0,131.0,"[' Crime', ' Drama']",['USA'],1700000.0,44763181.0
The Lord of the Rings: The Fellowship of the Ring,2001,Nominee,74,0120737,8.8,1657940.0,178.0,"[' Action', ' Adventure', ' Drama', ' Fantasy']","['New Zealand', 'USA']",93000000.0,888159092.0
Moulin Rouge!,2001,Nominee,74,0203009,7.6,266312.0,127.0,"[' Drama', ' Musical', ' Romance']","['Australia', 'USA']",50000000.0,184935320.0
Chicago,2002,Winner,75,0299658,7.1,215624.0,113.0,"[' Comedy', ' Crime', ' Musical']","['USA', 'Germany', 'Canada', 'UK']",45000000.0,306776732.0
Gangs of New York,2002,Nominee,75,0217505,7.5,405022.0,167.0,"[' Crime', ' Drama']","['USA', 'Italy']",100000000.0,193772504.0
The Hours,2002,Nominee,75,0274558,7.5,124290.0,110.0,"[' Drama', ' Romance']","['USA', 'UK', 'France', 'Canada', 'Germany']",25000000.0,108846072.0
The Lord of the Rings: The Two Towers,2002,Nominee,75,0167261,8.7,1482526.0,179.0,"[' Action', ' Adventure', ' Drama', ' Fantasy']","['New Zealand', 'USA']",94000000.0,943396133.0
The Pianist,2002,Nominee,75,0253474,8.5,727647.0,150.0,"[' Biography', ' Drama', ' Music', ' War']","['UK', 'France', 'Poland', 'Germany', 'USA']",35000000.0,120072577.0
The Lord of the Rings: The Return of the King,2003,Winner,76,0167260,8.9,1639466.0,201.0,"[' Action', ' Adventure', ' Drama', ' Fantasy']","['New Zealand', 'USA']",94000000.0,1142456987.0
Lost in Translation,2003,Nominee,76,0335266,7.7,414108.0,102.0,"[' Comedy', ' Drama']","['USA', 'Japan']",4000000.0,118686019.0
Master and Commander: The Far Side of the World,2003,Nominee,76,0311113,7.4,201983.0,138.0,"[' Action', ' Adventure', ' Drama', ' History', ' War']",['USA'],150000000.0,211622535.0
Mystic River,2003,Nominee,76,0327056,7.9,418696.0,138.0,"[' Crime', ' Drama', ' Mystery', ' Thriller']","['USA', 'Australia']",25000000.0,156595191.0
Seabiscuit,2003,Nominee,76,0329575,7.3,66808.0,140.0,"[' Drama', ' History', ' Sport']",['USA'],87000000.0,148336445.0
Million Dollar Baby,2004,Winner,77,0405159,8.1,634813.0,132.0,"[' Drama', ' Sport']",['USA'],30000000.0,216763646.0
The Aviator,2004,Nominee,77,0338751,7.5,333743.0,170.0,"[' Biography', ' Drama']","['USA', 'Germany']",110000000.0,213719942.0
Finding Neverland,2004,Nominee,77,0308644,7.6,198516.0,106.0,"[' Biography', ' Drama', ' Family']","['USA', 'UK']",25000000.0,116650613.0
Ray,2004,Nominee,77,0350258,7.7,138153.0,152.0,"[' Biography', ' Drama', ' Music']",['USA'],40000000.0,123971376.0
Sideways,2004,Nominee,77,0375063,7.5,179171.0,127.0,"[' Comedy', ' Drama', ' Romance']","['USA', 'Hungary']",16000000.0,109706931.0
Crash,2005,Winner,78,0375679,7.7,419073.0,112.0,"[' Crime', ' Drama', ' Thriller']","['USA', 'Germany', 'Australia']",6500000.0,98410061.0
Brokeback Mountain,2005,Nominee,78,0388795,7.7,322476.0,134.0,"[' Drama', ' Romance']","['USA', 'Canada']",14000000.0,178062759.0
Capote,2005,Nominee,78,0379725,7.3,125150.0,114.0,"[' Biography', ' Crime', ' Drama', ' History']","['USA', 'Canada']",7000000.0,49327405.0
"Good Night, and Good Luck",2005,Nominee,78,0433383,7.4,94053.0,93.0,"[' Biography', ' Drama', ' History']","['USA', 'France', 'UK', 'Japan']",7000000.0,54641191.0
Munich,2005,Nominee,78,0408306,7.5,212121.0,164.0,"[' Action', ' Drama', ' History', ' Thriller']","['USA', 'Canada', 'France']",70000000.0,130982129.0
The Departed,2006,Winner,79,0407887,8.5,1186850.0,151.0,"[' Crime', ' Drama', ' Thriller']","['USA', 'Hong Kong']",90000000.0,291465373.0
Babel,2006,Nominee,79,0449467,7.4,289060.0,143.0,[' Drama'],"['USA', 'Mexico', 'France', 'Morocco', 'Japan']",25000000.0,135330182.0
Letters from Iwo Jima,2006,Nominee,79,0498380,7.9,153858.0,141.0,"[' Action', ' Adventure', ' Drama', ' History', ' War']","['USA', 'Japan']",19000000.0,68673228.0
Little Miss Sunshine,2006,Nominee,79,0449059,7.8,439166.0,101.0,"[' Comedy', ' Drama']",['USA'],8000000.0,101058954.0
The Queen,2006,Nominee,79,0436697,7.3,104152.0,103.0,"[' Biography', ' Drama', ' History']","['UK', 'USA', 'France', 'Italy']",13328000.0,123384128.0
No Country for Old Men,2007,Winner,80,0477348,8.1,854642.0,122.0,"[' Crime', ' Drama', ' Thriller']","['USA', 'Mexico']",25000000.0,171627166.0
Atonement,2007,Nominee,80,0783233,7.8,250761.0,123.0,"[' Drama', ' Mystery', ' Romance', ' War']","['UK', 'France', 'USA']",30000000.0,131016624.0
Juno,2007,Nominee,80,0467406,7.4,490779.0,96.0,"[' Comedy', ' Drama']",['USA'],7500000.0,232372681.0
Michael Clayton,2007,Nominee,80,0465538,7.2,156252.0,119.0,"[' Crime', ' Drama', ' Mystery', ' Thriller']",['USA'],25000000.0,92991835.0
There Will Be Blood,2007,Nominee,80,0469494,8.2,516027.0,158.0,[' Drama'],['USA'],25000000.0,76181545.0
Slumdog Millionaire,2008,Winner,81,1010048,8.0,797756.0,120.0,"[' Drama', ' Romance']","['UK', 'USA', 'India']",15000000.0,378410113.0
The Curious Case of Benjamin Button,2008,Nominee,81,0421715,7.8,587930.0,166.0,"[' Drama', ' Fantasy', ' Romance']",['USA'],150000000.0,335802786.0
Frost/Nixon,2008,Nominee,81,0870111,7.7,103171.0,122.0,"[' Biography', ' Drama', ' History']","['UK', 'France', 'USA']",25000000.0,27426335.0
Milk,2008,Nominee,81,1013753,7.5,164435.0,128.0,"[' Biography', ' Drama']",['USA'],20000000.0,54589558.0
The Reader,2008,Nominee,81,0976051,7.6,230122.0,124.0,"[' Drama', ' Romance']","['Germany', 'USA']",32000000.0,108902486.0
The Hurt Locker,2009,Winner,82,0887912,7.5,420864.0,131.0,"[' Drama', ' Thriller', ' War']",['USA'],15000000.0,49230772.0
Avatar,2009,Nominee,82,0499549,7.8,1117523.0,162.0,"[' Action', ' Adventure', ' Fantasy', ' Sci-Fi']",['USA'],237000000.0,2790439092.0
The Blind Side,2009,Nominee,82,0878804,7.6,292598.0,129.0,"[' Biography', ' Drama', ' Sport']",['USA'],29000000.0,309208309.0
District 9,2009,Nominee,82,1136608,7.9,637598.0,112.0,"[' Action', ' Sci-Fi', ' Thriller']","['South Africa', 'USA', 'New Zealand', 'Canada']",30000000.0,210888950.0
An Education,2009,Nominee,82,1174732,7.3,128552.0,100.0,[' Drama'],"['UK', 'USA']",7500000.0,26096852.0
Inglourious Basterds,2009,Nominee,82,0361748,8.3,1264381.0,153.0,"[' Adventure', ' Drama', ' War']","['USA', 'Germany']",70000000.0,321455689.0
Precious: Based on the Novel 'Push' by Sapphire,2009,Nominee,82,0929632,7.3,105490.0,110.0,[' Drama'],['USA'],10000000.0,63649529.0
A Serious Man,2009,Nominee,82,1019452,7.0,133737.0,106.0,"[' Comedy', ' Drama']","['UK', 'France', 'USA']",7000000.0,31430334.0
Up,2009,Nominee,82,1049413,8.2,933608.0,96.0,"[' Animation', ' Adventure', ' Comedy', ' Family']",['USA'],175000000.0,735099102.0
Up in the Air,2009,Nominee,82,1193138,7.4,318191.0,109.0,"[' Comedy', ' Drama', ' Romance']",['USA'],25000000.0,166842739.0
The King's Speech,2010,Winner,83,1504320,8.0,638582.0,118.0,"[' Biography', ' Drama', ' History']","['UK', 'USA', 'Australia']",15000000.0,427374317.0
127 Hours,2010,Nominee,83,1542344,7.5,347455.0,94.0,"[' Biography', ' Drama']","['USA', 'UK', 'France']",18000000.0,60738797.0
Black Swan,2010,Nominee,83,0947798,8.0,698468.0,108.0,"[' Drama', ' Thriller']",['USA'],13000000.0,329398046.0
The Fighter,2010,Nominee,83,0964517,7.8,339959.0,116.0,"[' Biography', ' Drama', ' Sport']",['USA'],25000000.0,129190869.0
Inception,2010,Nominee,83,1375666,8.8,2061995.0,148.0,"[' Action', ' Adventure', ' Sci-Fi', ' Thriller']","['USA', 'UK']",160000000.0,836836967.0
The Kids Are All Right,2010,Nominee,83,0842926,7.0,125672.0,106.0,"[' Comedy', ' Drama', ' Romance']","['USA', 'France']",4000000.0,34758951.0
The Social Network,2010,Nominee,83,1285016,7.7,623442.0,120.0,"[' Biography', ' Drama']",['USA'],40000000.0,224920375.0
Toy Story 3,2010,Nominee,83,0435761,8.2,755630.0,103.0,"[' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy']",['USA'],200000000.0,1066969895.0
True Grit,2010,Nominee,83,1403865,7.6,311259.0,110.0,"[' Drama', ' Western']",['USA'],38000000.0,252276927.0
Winter's Bone,2010,Nominee,83,1399683,7.1,135796.0,100.0,"[' Drama', ' Mystery']",['USA'],2000000.0,13796834.0
The Artist,2011,Winner,84,1655442,7.9,230320.0,100.0,"[' Comedy', ' Drama', ' Romance']","['France', 'Belgium', 'USA']",15000000.0,133432856.0
The Descendants,2011,Nominee,84,1033575,7.3,232532.0,115.0,"[' Comedy', ' Drama']",['USA'],20000000.0,177243185.0
Extremely Loud & Incredibly Close,2011,Nominee,84,0477302,6.9,97703.0,129.0,"[' Adventure', ' Drama', ' Mystery']",['USA'],40000000.0,55247881.0
The Help,2011,Nominee,84,1454029,8.0,427583.0,146.0,[' Drama'],['USA'],25000000.0,216639112.0
Hugo,2011,Nominee,84,0970179,7.5,304641.0,126.0,"[' Drama', ' Family', ' Fantasy', ' Mystery']","['UK', 'USA', 'France']",150000000.0,185770310.0
Midnight in Paris,2011,Nominee,84,1605783,7.7,387367.0,96.0,"[' Comedy', ' Fantasy', ' Romance']","['Spain', 'USA', 'France']",17000000.0,153959590.0
Moneyball,2011,Nominee,84,1210166,7.6,368445.0,133.0,"[' Biography', ' Drama', ' Sport']",['USA'],50000000.0,110206216.0
The Tree of Life,2011,Nominee,84,0478304,6.8,167734.0,139.0,"[' Drama', ' Fantasy']",['USA'],32000000.0,58409247.0
War Horse,2011,Nominee,84,1568911,7.2,146774.0,146.0,"[' Action', ' Adventure', ' Drama', ' History', ' War']","['USA', 'India']",66000000.0,177584879.0
Argo,2012,Winner,85,1024648,7.7,571748.0,120.0,"[' Biography', ' Drama', ' Thriller']","['USA', 'UK']",44500000.0,232325503.0
Amour,2012,Nominee,85,1602620,7.9,92909.0,127.0,"[' Drama', ' Romance']","['Austria', 'France', 'Germany']",8900000.0,29664140.0
Beasts of the Southern Wild,2012,Nominee,85,2125435,7.3,80615.0,93.0,"[' Adventure', ' Drama', ' Fantasy']",['USA'],1800000.0,21107746.0
Django Unchained,2012,Nominee,85,1853728,8.4,1354186.0,165.0,"[' Drama', ' Western']",['USA'],100000000.0,425368238.0
Les Misérables,2012,Nominee,85,1707386,7.6,308379.0,158.0,"[' Drama', ' History', ' Musical', ' Romance', ' War']","['UK', 'USA']",61000000.0,441809770.0
Life of Pi,2012,Nominee,85,0454876,7.9,579760.0,127.0,"[' Adventure', ' Drama', ' Fantasy']","['USA', 'Taiwan', 'UK', 'Mexico', 'Canada']",120000000.0,609016565.0
Lincoln,2012,Nominee,85,0443272,7.3,244284.0,150.0,"[' Biography', ' Drama', ' History', ' War']","['USA', 'India']",65000000.0,275293450.0
Silver Linings Playbook,2012,Nominee,85,1045658,7.7,660842.0,122.0,"[' Comedy', ' Drama', ' Romance']",['USA'],21000000.0,236412453.0
Zero Dark Thirty,2012,Nominee,85,1790885,7.4,271397.0,157.0,"[' Drama', ' History', ' Thriller', ' War']","['USA', 'United Arab Emirates']",40000000.0,132820716.0
12 Years a Slave,2013,Winner,86,2024544,8.1,639081.0,134.0,"[' Biography', ' Drama', ' History']","['USA', 'UK']",20000000.0,187733202.0
American Hustle,2013,Nominee,86,1800241,7.2,448151.0,138.0,"[' Crime', ' Drama']","['USA', 'China']",40000000.0,251171807.0
Captain Phillips,2013,Nominee,86,1535109,7.8,420252.0,134.0,"[' Adventure', ' Biography', ' Crime', ' Drama', ' Thriller']",['USA'],55000000.0,218791811.0
Dallas Buyers Club,2013,Nominee,86,0790636,8.0,440464.0,117.0,"[' Biography', ' Drama']",['USA'],5000000.0,55736588.0
Gravity,2013,Nominee,86,1454468,7.7,768174.0,91.0,"[' Drama', ' Sci-Fi', ' Thriller']","['UK', 'USA', 'Mexico']",100000000.0,723192705.0
Her,2013,Nominee,86,1798709,8.0,539254.0,126.0,"[' Drama', ' Romance', ' Sci-Fi']",['USA'],23000000.0,48517427.0
Nebraska,2013,Nominee,86,1821549,7.7,112137.0,115.0,"[' Adventure', ' Comedy', ' Drama']",['USA'],12000000.0,27682872.0
Philomena,2013,Nominee,86,2431286,7.6,94033.0,98.0,"[' Biography', ' Comedy', ' Drama']","['UK', 'USA', 'France']",12000000.0,100129872.0
The Wolf of Wall Street,2013,Nominee,86,0993846,8.2,1182123.0,180.0,"[' Biography', ' Crime', ' Drama']",['USA'],100000000.0,392000694.0
Birdman or (The Unexpected Virtue of Ignorance),2014,Winner,87,2562232,7.7,579093.0,119.0,"[' Comedy', ' Drama']",['USA'],18000000.0,103215094.0
American Sniper,2014,Nominee,87,2179136,7.3,438771.0,133.0,"[' Action', ' Biography', ' Drama', ' War']",['USA'],58800000.0,547426372.0
Boyhood,2014,Nominee,87,1065073,7.9,335092.0,165.0,[' Drama'],['USA'],4000000.0,48137666.0
The Grand Budapest Hotel,2014,Nominee,87,2278388,8.1,705744.0,99.0,"[' Adventure', ' Comedy', ' Crime']","['Germany', 'USA']",25000000.0,172940180.0
The Imitation Game,2014,Nominee,87,2084970,8.0,683678.0,114.0,"[' Biography', ' Drama', ' Thriller', ' War']","['UK', 'USA']",14000000.0,233555708.0
Selma,2014,Nominee,87,1020072,7.5,86167.0,128.0,"[' Biography', ' Drama', ' History']","['UK', 'USA', 'France']",20000000.0,66787908.0
The Theory of Everything,2014,Nominee,87,2980516,7.7,403175.0,123.0,"[' Biography', ' Drama', ' Romance']","['UK', 'Japan', 'USA']",15000000.0,123726688.0
Whiplash,2014,Nominee,87,2582802,8.5,715075.0,106.0,"[' Drama', ' Music']",['USA'],3300000.0,49396747.0
Spotlight,2015,Winner,88,1895587,8.1,419105.0,129.0,"[' Biography', ' Crime', ' Drama']",['USA'],20000000.0,98690254.0
The Big Short,2015,Nominee,88,1596363,7.8,360994.0,130.0,"[' Biography', ' Comedy', ' Drama', ' History']",['USA'],28000000.0,133440870.0
Bridge of Spies,2015,Nominee,88,3682448,7.6,287049.0,142.0,"[' Drama', ' History', ' Thriller']","['USA', 'Germany', 'India']",40000000.0,165478348.0
Brooklyn,2015,Nominee,88,2381111,7.5,130941.0,117.0,"[' Drama', ' Romance']","['UK', 'Canada', 'Ireland']",11000000.0,62076141.0
Mad Max: Fury Road,2015,Nominee,88,1392190,8.1,880043.0,120.0,"[' Action', ' Adventure', ' Sci-Fi', ' Thriller']","['Australia', 'South Africa', 'USA']",150000000.0,375389666.0
The Martian,2015,Nominee,88,3659388,8.0,758474.0,144.0,"[' Adventure', ' Drama', ' Sci-Fi']","['UK', 'USA', 'Hungary', 'Jordan']",108000000.0,630162235.0
The Revenant,2015,Nominee,88,1663202,8.0,703670.0,156.0,"[' Action', ' Adventure', ' Drama', ' History', ' Western']","['USA', 'Hong Kong', 'Taiwan']",135000000.0,532950503.0
Room,2015,Nominee,88,3170832,8.1,370169.0,118.0,"[' Drama', ' Thriller']","['Canada', 'Ireland', 'UK', 'USA']",13000000.0,35401758.0
Moonlight,2016,Winner,89,4975722,7.4,272809.0,111.0,[' Drama'],['USA'],4000000.0,65336603.0
Arrival,2016,Nominee,89,2543164,7.9,592536.0,116.0,"[' Drama', ' Sci-Fi']","['USA', 'Canada']",47000000.0,203388186.0
Fences,2016,Nominee,89,2671706,7.2,97783.0,139.0,[' Drama'],"['USA', 'Canada']",24000000.0,64414761.0
Hacksaw Ridge,2016,Nominee,89,2119532,8.1,434307.0,139.0,"[' Biography', ' Drama', ' History', ' War']","['Australia', 'USA']",40000000.0,180450918.0
Hell or High Water,2016,Nominee,89,2582782,7.6,203651.0,102.0,"[' Action', ' Crime', ' Drama', ' Thriller', ' Western']",['USA'],12000000.0,37879877.0
Hidden Figures,2016,Nominee,89,4846340,7.8,200198.0,127.0,"[' Biography', ' Drama', ' History']",['USA'],25000000.0,235956898.0
La La Land,2016,Nominee,89,3783958,8.0,504125.0,128.0,"[' Comedy', ' Drama', ' Music', ' Musical', ' Romance']","['USA', 'Hong Kong']",30000000.0,449287645.0
Lion,2016,Nominee,89,3741834,8.0,213322.0,118.0,"[' Biography', ' Drama']","['UK', 'Australia', 'USA']",12000000.0,140312928.0
Manchester by the Sea,2016,Nominee,89,4034228,7.8,246181.0,137.0,[' Drama'],['USA'],9000000.0,78988148.0
The Shape of Water,2017,Winner,90,5580390,7.3,369886.0,123.0,"[' Adventure', ' Drama', ' Fantasy', ' Romance', ' Sci-Fi', ' Thriller']","['USA', 'Canada', 'Mexico']",19400000.0,195333312.0
Call Me by Your Name,2017,Nominee,90,5726616,7.9,211386.0,132.0,"[' Drama', ' Romance']","['Italy', 'France', 'USA', 'Brazil']",4840000.0,41888660.0
Darkest Hour,2017,Nominee,90,4555426,7.4,171686.0,125.0,"[' Biography', ' Drama', ' History', ' War']","['UK', 'USA']",30000000.0,150847274.0
Dunkirk,2017,Nominee,90,5013056,7.8,553281.0,106.0,"[' Action', ' Drama', ' History', ' Thriller', ' War']","['UK', 'Netherlands', 'France', 'USA']",100000000.0,526949403.0
Get Out,2017,Nominee,90,5052448,7.7,491236.0,104.0,"[' Horror', ' Mystery', ' Thriller']","['USA', 'Japan']",4500000.0,255446148.0
Lady Bird,2017,Nominee,90,4925292,7.4,240462.0,94.0,"[' Comedy', ' Drama']",['USA'],10000000.0,78965611.0
Phantom Thread,2017,Nominee,90,5776858,7.5,111903.0,130.0,"[' Drama', ' Romance']","['USA', 'UK']",35000000.0,47756590.0
The Post,2017,Nominee,90,6294822,7.2,135510.0,116.0,[' Drama'],"['USA', 'UK']",50000000.0,179769467.0
"Three Billboards Outside Ebbing, Missouri",2017,Nominee,90,5027774,8.2,430452.0,115.0,"[' Comedy', ' Crime', ' Drama']","['UK', 'USA']",15000000.0,160192031.0
Green Book,2018,Winner,91,6966692,8.2,374447.0,130.0,"[' Biography', ' Comedy', ' Drama', ' Music']","['USA', 'China']",23000000.0,321752656.0
Black Panther,2018,Nominee,91,1825683,7.3,623682.0,134.0,"[' Action', ' Adventure', ' Sci-Fi']",['USA'],200000000.0,1347597973.0
